Code,Name,Continent,Region,SurfaceArea,IndepYear,Population,LifeExpectancy,GNP,GNPOld,LocalName,GovernmentForm,HeadOfState,Capital,Code2
BGD,Bangladesh,Asia,"Southern and Central Asia",143998.00,1971,129155000,60.2,32852.00,31966.00,Bangladesh,Republic,"Shahabuddin Ahmad",150,BD
BRA,Brazil,"South America","South America",8547403.00,1822,170115000,62.9,776739.00,804108.00,Brasil,"Federal Republic","Fernando Henrique Cardoso",211,BR
CHN,China,Asia,"Eastern Asia",9572900.00,-1523,1277558000,71.4,982268.00,917719.00,Zhongquo,People'sRepublic,"Jiang Zemin",1891,CN
COD,"Congo, The Democratic Republic of the",Africa,"Central Africa",2344858.00,1960,51654000,48.8,6964.00,2474.00,"République Démocratique du Congo",Republic,"Joseph Kabila",2298,CD
COL,Colombia,"South America","South America",1138914.00,1810,42321000,70.3,102896.00,105116.00,Colombia,Republic,"Andrés Pastrana Arango",2257,CO
DEU,Germany,Europe,"Western Europe",357022.00,1955,82164700,77.4,2133367.00,2102826.00,Deutschland,"Federal Republic","Johannes Rau",3068,DE
EGY,Egypt,Africa,"Northern Africa",1001449.00,1922,68470000,63.3,82710.00,75617.00,Misr,Republic,"Hosni Mubarak",608,EG
ETH,Ethiopia,Africa,"Eastern Africa",1104300.00,-1000,62565000,45.2,6353.00,6180.00,YeItyop´iya,Republic,"Negasso Gidada",756,ET
FRA,France,Europe,"Western Europe",551500.00,843,59225700,78.8,1424285.00,1392448.00,France,Republic,"Jacques Chirac",2974,FR
GBR,"United Kingdom",Europe,"British Islands",242900.00,1066,59623400,77.7,1378330.00,1296830.00,"United Kingdom","Constitutional Monarchy","Elisabeth II",456,GB
IDN,Indonesia,Asia,"Southeast Asia",1904569.00,1945,212107000,68.0,84982.00,215002.00,Indonesia,Republic,"Abdurrahman Wahid",939,ID
IND,India,Asia,"Southern and Central Asia",3287263.00,1947,1013662000,62.5,447114.00,430572.00,Bharat/India,"Federal Republic","Kocheril Raman Narayanan",1109,IN
IRN,Iran,Asia,"Southern and Central Asia",1648195.00,1906,67702000,69.7,195746.00,160151.00,Iran,"Islamic Republic","Ali Mohammad Khatami-Ardakani",1380,IR
ITA,Italy,Europe,"Southern Europe",301316.00,1861,57680000,79.0,1161755.00,1145372.00,Italia,Republic,"Carlo Azeglio Ciampi",1464,IT
JPN,Japan,Asia,"Eastern Asia",377829.00,-660,126714000,80.7,3787042.00,4192638.00,Nihon/Nippon,"Constitutional Monarchy",Akihito,1532,JP
KOR,"South Korea",Asia,"Eastern Asia",99434.00,1948,46844000,74.4,320749.00,442544.00,"Taehan Min’guk (Namhan)",Republic,"Kim Dae-jung",2331,KR
MEX,Mexico,"North America","Central America",1958201.00,1810,98881000,71.5,414972.00,401461.00,México,"Federal Republic","Vicente Fox Quesada",2515,MX
MMR,Myanmar,Asia,"Southeast Asia",676578.00,1948,45611000,54.9,180375.00,171028.00,"Myanma Pye",Republic,"kenraali Than Shwe",2710,MM
NGA,Nigeria,Africa,"Western Africa",923768.00,1960,111506000,51.6,65707.00,58623.00,Nigeria,"Federal Republic","Olusegun Obasanjo",2754,NG
PAK,Pakistan,Asia,"Southern and Central Asia",796095.00,1947,156483000,61.1,61289.00,58549.00,Pakistan,Republic,"Mohammad Rafiq Tarar",2831,PK
PHL,Philippines,Asia,"Southeast Asia",300000.00,1946,75967000,67.5,65107.00,82239.00,Pilipinas,Republic,"Gloria Macapagal-Arroyo",766,PH
RUS,"Russian Federation",Europe,"Eastern Europe",17075400.00,1991,146934000,67.2,276608.00,442989.00,Rossija,"Federal Republic","Vladimir Putin",3580,RU
THA,Thailand,Asia,"Southeast Asia",513115.00,1350,61399000,68.6,116416.00,153907.00,"Prathet Thai","Constitutional Monarchy","Bhumibol Adulyadej",3320,TH
TUR,Turkey,Asia,"Middle East",774815.00,1923,66591000,71.0,210721.00,189122.00,Türkiye,Republic,"Ahmet Necdet Sezer",3358,TR
UKR,Ukraine,Europe,"Eastern Europe",603700.00,1991,50456000,66.0,42168.00,49677.00,Ukrajina,Republic,"Leonid Kutšma",3426,UA
USA,"United States","North America","North America",9363520.00,1776,278357000,77.1,8510700.00,8110900.00,"United States","Federal Republic","George W. Bush",3813,US
VNM,Vietnam,Asia,"Southeast Asia",331689.00,1945,79832000,69.3,21929.00,22834.00,"Viêt Nam","Socialistic Republic","Trân Duc Luong",3770,VN
ZAF,"South Africa",Africa,"Southern Africa",1221037.00,1910,40377000,51.1,116729.00,129092.00,"South Africa",Republic,"Thabo Mbeki",716,ZA
